parent_id,name,description,header
344,1670 - NORTH RYDE BC,1670 - NORTH RYDE BC - NSW,FALSE
344,1675 - GLADESVILLE,1675 - GLADESVILLE - NSW,FALSE
344,1680 - RYDE,1680 - RYDE - NSW,FALSE
344,1685 - WEST RYDE,1685 - WEST RYDE - NSW,FALSE
344,1700 - ERMINGTON,1700 - ERMINGTON - NSW,FALSE
344,1710 - EPPING,1710 - EPPING - NSW,FALSE
344,1715 - PENNANT HILLS,1715 - PENNANT HILLS - NSW,FALSE
344,1730 - SEVEN HILLS,1730 - SEVEN HILLS - NSW,FALSE
344,1740 - PARRAMATTA,1740 - PARRAMATTA - NSW,FALSE
344,1741 - PARRAMATTA,1741 - PARRAMATTA - NSW,FALSE
344,1750 - NORTH PARRAMATTA,1750 - NORTH PARRAMATTA - NSW,FALSE
344,1755 - BAULKHAM HILLS,1755 - BAULKHAM HILLS - NSW,FALSE
344,1765 - CASTLE HILL,1765 - CASTLE HILL - NSW,FALSE
344,1771 - PENNANT HILLS,1771 - PENNANT HILLS - NSW,FALSE
344,1781 - SEVEN HILLS MC,1781 - SEVEN HILLS MC - NSW,FALSE
344,1790 - ST MARYS,1790 - ST MARYS - NSW,FALSE
344,1800 - ASHFIELD,1800 - ASHFIELD - NSW,FALSE
344,1805 - BURWOOD,1805 - BURWOOD - NSW,FALSE
344,1811 - SILVERWATER,1811 - SILVERWATER - NSW,FALSE
344,1819 - STRATHFIELD,1819 - STRATHFIELD - NSW,FALSE
344,1825 - LIDCOMBE,1825 - LIDCOMBE - NSW,FALSE
344,1830 - GRANVILLE,1830 - GRANVILLE - NSW,FALSE
344,1831 - GRANVILLE,1831 - GRANVILLE - NSW,FALSE
344,1835 - AUBURN,1835 - AUBURN - NSW,FALSE
344,1851 - WETHERILL PARK,1851 - WETHERILL PARK - NSW,FALSE
344,1851 - WETHERILL PARK DC,1851 - WETHERILL PARK DC - NSW,FALSE
344,1860 - FAIRFIELD,1860 - FAIRFIELD - NSW,FALSE
344,1871 - LIVERPOOL,1871 - LIVERPOOL - NSW,FALSE
344,1874 - MOOREBANK,1874 - MOOREBANK - NSW,FALSE
344,1875 - MOOREBANK,1875 - MOOREBANK - NSW,FALSE
344,1885 - BANKSTOWN,1885 - BANKSTOWN - NSW,FALSE
344,1888 - BANKSTOWN,1888 - BANKSTOWN - NSW,FALSE
344,1890 - INGLEBURN,1890 - INGLEBURN - NSW,FALSE
344,1891 - MILPERRA,1891 - MILPERRA - NSW,FALSE
344,2000 - BARANGAROO,2000 - BARANGAROO - NSW,FALSE
344,2000 - DARLING HARBOUR,2000 - DARLING HARBOUR - NSW,FALSE
344,2000 - DAWES POINT,2000 - DAWES POINT - NSW,FALSE
344,2000 - HAYMARKET,2000 - HAYMARKET - NSW,FALSE
344,2000 - MILLERS POINT,2000 - MILLERS POINT - NSW,FALSE
344,2000 - PARLIAMENT HOUSE,2000 - PARLIAMENT HOUSE - NSW,FALSE
344,2000 - SYDNEY,2000 - SYDNEY - NSW,FALSE
344,2000 - SYDNEY SOUTH,2000 - SYDNEY SOUTH - NSW,FALSE
344,2000 - THE ROCKS,2000 - THE ROCKS - NSW,FALSE
344,2001 - SYDNEY,2001 - SYDNEY - NSW,FALSE
344,2002 - WORLD SQUARE,2002 - WORLD SQUARE - NSW,FALSE
344,2004 - ALEXANDRIA MC,2004 - ALEXANDRIA MC - NSW,FALSE
